user,mean_login_hour,mean_logout_hour,files_per_day,usb_per_day,emails_per_day,out_of_session_access
user1,6.0,14.0,2.0,0.0,0.0,2
user2,7.0,14.0,2.0,0.0,0.0,2
user3,6.0,16.0,3.0,0.0,0.0,3
user4,6.0,15.0,1.0,0.0,0.0,1
user5,6.0,12.0,3.0,0.0,0.0,2
user6,7.0,17.0,3.0,0.0,0.0,2
user7,10.0,20.0,1.0,0.0,0.0,1
user8,7.0,17.0,2.0,0.0,0.0,1
user9,9.0,18.0,3.0,0.0,0.0,2
user10,10.0,16.0,3.0,0.0,0.0,2
user11,7.0,16.0,1.0,0.0,0.0,1
user12,8.0,15.0,1.0,0.0,0.0,1
user13,7.0,15.0,2.0,0.0,0.0,1
user14,6.0,15.0,1.0,0.0,0.0,1
user15,6.0,14.0,3.0,0.0,0.0,1
user16,10.0,16.0,2.0,0.0,0.0,2
user17,9.0,15.0,1.0,0.0,0.0,1
user18,9.0,19.0,2.0,0.0,0.0,1
user19,8.0,18.0,2.0,0.0,0.0,1
user20,8.0,15.0,3.0,0.0,0.0,2
user21,6.0,13.0,1.0,0.0,0.0,1
user22,8.0,15.0,3.0,0.0,0.0,2
user23,6.0,14.0,1.0,0.0,0.0,0
user24,9.0,17.0,1.0,0.0,1.0,1
user25,7.0,15.0,3.0,0.0,0.0,3
user26,7.0,15.0,3.0,0.0,0.0,2
user27,6.0,13.0,1.0,0.0,0.0,1
user28,10.0,17.0,2.0,0.0,0.0,1
user29,7.0,16.0,1.0,0.0,0.0,1
user30,8.0,18.0,1.0,0.0,0.0,1
user31,7.0,15.0,2.0,0.0,0.0,2
user32,6.0,12.0,2.0,0.0,0.0,2
user33,8.0,16.0,2.0,0.0,0.0,1
user34,6.0,16.0,3.0,0.0,0.0,2
user35,8.0,17.0,1.0,0.0,0.0,1
user36,9.0,18.0,3.0,0.0,0.0,2
user37,7.0,14.0,3.0,0.0,0.0,1
user38,7.0,17.0,2.0,0.0,0.0,1
user39,10.0,20.0,2.0,0.0,0.0,1
user40,9.0,19.0,2.0,0.0,0.0,1
user41,9.0,16.0,2.0,0.0,0.0,2
user42,7.0,16.0,1.0,0.0,0.0,1
user43,6.0,12.0,1.0,0.0,0.0,1
user44,6.0,13.0,3.0,0.0,0.0,2
user45,9.0,15.0,2.0,0.0,0.0,2
user46,9.0,19.0,3.0,0.0,0.0,1
user47,9.0,17.0,3.0,0.0,0.0,3
user48,10.0,16.0,2.0,0.0,0.0,2
user49,6.0,16.0,2.0,0.0,0.0,1
user50,8.0,16.0,1.0,0.0,0.0,0
user51,6.0,15.0,1.0,0.0,0.0,1
user52,7.0,13.0,1.0,0.0,0.0,0
user53,8.0,15.0,2.0,0.0,0.0,2
user54,10.0,16.0,3.0,0.0,0.0,3
user55,8.0,18.0,2.0,0.0,0.0,1
user56,10.0,17.0,3.0,0.0,0.0,2
