user,file,access_time
user1,file_79.docx,2023-01-01 14:36:00
user1,file_68.docx,2023-01-01 01:45:00
user2,file_68.docx,2023-01-01 23:47:00
user2,file_94.docx,2023-01-01 06:06:00
user3,file_82.docx,2023-01-01 22:58:00
user3,file_120.docx,2023-01-01 18:03:00
user3,file_82.docx,2023-01-01 23:29:00
user4,file_147.docx,2023-01-01 23:05:00
user5,file_135.docx,2023-01-01 20:36:00
user5,file_137.docx,2023-01-01 12:27:00
user5,file_191.docx,2023-01-01 09:54:00
user6,file_104.docx,2023-01-01 18:13:00
user6,file_110.docx,2023-01-01 10:24:00
user6,file_32.docx,2023-01-01 17:15:00
user7,file_83.docx,2023-01-01 22:38:00
user8,file_68.docx,2023-01-01 20:42:00
user8,file_144.docx,2023-01-01 14:25:00
user9,file_2.docx,2023-01-01 11:43:00
user9,file_120.docx,2023-01-01 01:49:00
user9,file_48.docx,2023-01-01 07:47:00
user10,file_123.docx,2023-01-01 15:51:00
user10,file_188.docx,2023-01-01 02:34:00
user10,file_68.docx,2023-01-01 07:54:00
user11,file_165.docx,2023-01-01 03:36:00
user12,file_42.docx,2023-01-01 00:38:00
user13,file_111.docx,2023-01-01 15:15:00
user13,file_56.docx,2023-01-01 06:54:00
user14,file_177.docx,2023-01-01 22:38:00
user15,file_123.docx,2023-01-01 06:50:00
user15,file_175.docx,2023-01-01 04:13:00
user15,file_145.docx,2023-01-01 12:18:00
user16,file_11.docx,2023-01-01 05:55:00
user16,file_144.docx,2023-01-01 04:20:00
user17,file_196.docx,2023-01-01 05:52:00
user18,file_118.docx,2023-01-01 12:39:00
user18,file_152.docx,2023-01-01 20:11:00
user19,file_43.docx,2023-01-01 14:30:00
user19,file_61.docx,2023-01-01 19:59:00
user20,file_41.docx,2023-01-01 07:46:00
user20,file_137.docx,2023-01-01 10:41:00
user20,file_37.docx,2023-01-01 01:08:00
user21,file_176.docx,2023-01-01 05:01:00
user22,file_25.docx,2023-01-01 08:44:00
user22,file_1.docx,2023-01-01 02:27:00
user22,file_158.docx,2023-01-01 06:14:00
user23,file_133.docx,2023-01-01 08:18:00
user24,file_55.docx,2023-01-01 09:31:00
user25,file_19.docx,2023-01-01 19:37:00
user25,file_135.docx,2023-01-01 04:56:00
user25,file_156.docx,2023-01-01 00:51:00
user26,file_124.docx,2023-01-01 10:52:00
user26,file_83.docx,2023-01-01 02:21:00
user26,file_69.docx,2023-01-01 22:21:00
user27,file_100.docx,2023-01-01 01:58:00
user28,file_83.docx,2023-01-01 13:36:00
user28,file_177.docx,2023-01-01 19:39:00
user29,file_52.docx,2023-01-01 17:14:00
user30,file_8.docx,2023-01-01 00:45:00
user31,file_73.docx,2023-01-01 07:13:00
user31,file_173.docx,2023-01-01 04:11:00
user32,file_161.docx,2023-01-01 23:49:00
user32,file_39.docx,2023-01-01 04:31:00
user33,file_120.docx,2023-01-01 14:13:00
user33,file_53.docx,2023-01-01 02:26:00
user34,file_130.docx,2023-01-01 22:02:00
user34,file_102.docx,2023-01-01 12:59:00
user34,file_77.docx,2023-01-01 23:30:00
user35,file_114.docx,2023-01-01 00:13:00
user36,file_93.docx,2023-01-01 01:15:00
user36,file_97.docx,2023-01-01 01:21:00
user36,file_158.docx,2023-01-01 10:10:00
user37,file_129.docx,2023-01-01 09:08:00
user37,file_162.docx,2023-01-01 09:05:00
user37,file_187.docx,2023-01-01 01:40:00
user38,file_182.docx,2023-01-01 09:46:00
user38,file_14.docx,2023-01-01 04:57:00
user39,file_70.docx,2023-01-01 00:43:00
user39,file_166.docx,2023-01-01 13:30:00
user40,file_130.docx,2023-01-01 05:27:00
user40,file_117.docx,2023-01-01 13:08:00
user41,file_146.docx,2023-01-01 00:53:00
user41,file_111.docx,2023-01-01 05:00:00
user42,file_63.docx,2023-01-01 22:25:00
user43,file_131.docx,2023-01-01 21:22:00
user44,file_104.docx,2023-01-01 08:26:00
user44,file_187.docx,2023-01-01 02:18:00
user44,file_147.docx,2023-01-01 14:17:00
user45,file_153.docx,2023-01-01 15:41:00
user45,file_151.docx,2023-01-01 06:06:00
user46,file_56.docx,2023-01-01 18:44:00
user46,file_198.docx,2023-01-01 18:43:00
user46,file_125.docx,2023-01-01 23:36:00
user47,file_182.docx,2023-01-01 08:53:00
user47,file_154.docx,2023-01-01 02:16:00
user47,file_154.docx,2023-01-01 22:32:00
user48,file_9.docx,2023-01-01 18:47:00
user48,file_159.docx,2023-01-01 10:52:00
user49,file_4.docx,2023-01-01 09:38:00
user49,file_180.docx,2023-01-01 21:13:00
user50,file_107.docx,2023-01-01 13:18:00
user51,file_33.docx,2023-01-01 04:47:00
user52,file_152.docx,2023-01-01 08:57:00
user53,file_26.docx,2023-01-01 04:06:00
user53,file_41.docx,2023-01-01 22:35:00
user54,file_181.docx,2023-01-01 17:51:00
user54,file_167.docx,2023-01-01 02:42:00
user54,file_27.docx,2023-01-01 10:39:00
user55,file_144.docx,2023-01-01 10:14:00
user55,file_65.docx,2023-01-01 00:00:00
user56,file_19.docx,2023-01-01 05:43:00
user56,file_116.docx,2023-01-01 13:47:00
user56,file_179.docx,2023-01-01 05:08:00
user57,file_152.docx,2023-01-01 16:45:00
user58,file_128.docx,2023-01-01 09:11:00
user58,file_164.docx,2023-01-01 05:21:00
user59,file_184.docx,2023-01-01 14:47:00
user59,file_130.docx,2023-01-01 22:31:00
user60,file_132.docx,2023-01-01 16:33:00
user61,file_33.docx,2023-01-01 06:28:00
user62,file_165.docx,2023-01-01 17:41:00
user62,file_124.docx,2023-01-01 01:21:00
user62,file_169.docx,2023-01-01 17:54:00
user63,file_18.docx,2023-01-01 12:33:00
user63,file_13.docx,2023-01-01 12:44:00
user64,file_188.docx,2023-01-01 06:44:00
user65,file_66.docx,2023-01-01 18:41:00
user65,file_95.docx,2023-01-01 12:19:00
user65,file_120.docx,2023-01-01 23:36:00
user66,file_138.docx,2023-01-01 08:25:00
user66,file_7.docx,2023-01-01 21:20:00
user66,file_132.docx,2023-01-01 13:43:00
user67,file_160.docx,2023-01-01 08:36:00
user67,file_199.docx,2023-01-01 12:12:00
user68,file_139.docx,2023-01-01 07:00:00
user68,file_159.docx,2023-01-01 14:09:00
user68,file_52.docx,2023-01-01 12:51:00
user69,file_13.docx,2023-01-01 17:03:00
user70,file_37.docx,2023-01-01 13:05:00
user70,file_99.docx,2023-01-01 12:08:00
user70,file_2.docx,2023-01-01 03:26:00
user71,file_92.docx,2023-01-01 10:46:00
user71,file_116.docx,2023-01-01 21:32:00
user72,file_72.docx,2023-01-01 10:31:00
user72,file_171.docx,2023-01-01 16:25:00
user73,file_84.docx,2023-01-01 11:56:00
user73,file_127.docx,2023-01-01 11:06:00
user74,file_66.docx,2023-01-01 15:27:00
user75,file_2.docx,2023-01-01 00:03:00
user75,file_99.docx,2023-01-01 16:28:00
user76,file_134.docx,2023-01-01 13:51:00
user76,file_136.docx,2023-01-01 04:18:00
user77,file_15.docx,2023-01-01 11:04:00
user77,file_107.docx,2023-01-01 12:22:00
user77,file_66.docx,2023-01-01 10:06:00
