user,mean_login_hour,mean_logout_hour,files_per_day,usb_per_day,emails_per_day,out_of_session_access,degree_centrality,betweenness_centrality,keyword_flag,subject_len,sentiment,is_red_team
user1,6.0,14.0,2.0,0.0,0.0,2,0.6756756756756757,0.0311437991440431,,,,0
user2,7.0,14.0,2.0,0.0,0.0,2,0.6486486486486487,0.027807952372951,,,,0
user3,6.0,16.0,3.0,0.0,0.0,3,0.7162162162162162,0.0350285085526454,,,,0
user4,6.0,15.0,1.0,0.0,0.0,1,0.6486486486486487,0.0278064926764954,,,,0
user5,6.0,12.0,3.0,0.0,0.0,2,0.6756756756756757,0.0307488412770681,,,,0
user6,7.0,17.0,3.0,0.0,0.0,2,0.6216216216216217,0.0254611412789673,,,,0
user7,10.0,20.0,1.0,0.0,0.0,1,0.6891891891891893,0.0324154627359536,,,,0
user8,7.0,17.0,2.0,0.0,0.0,1,0.6351351351351352,0.0274875242494266,,,,0
user9,9.0,18.0,3.0,0.0,0.0,2,0.6486486486486487,0.0281023229413042,,,,0
user10,10.0,16.0,3.0,0.0,0.0,2,0.6351351351351352,0.0268136085021693,,,,0
user11,7.0,16.0,1.0,0.0,0.0,1,0.6621621621621622,0.0298549223776835,,,,0
user12,8.0,15.0,1.0,0.0,0.0,1,0.5810810810810811,0.022414323298391,,,,0
user13,7.0,15.0,2.0,0.0,0.0,1,0.6756756756756757,0.0308281701535826,,,,0
user14,6.0,15.0,1.0,0.0,0.0,1,0.6486486486486487,0.0280345262607761,,,,0
user15,6.0,14.0,3.0,0.0,0.0,1,0.6891891891891893,0.0321085190744707,,,,0
user16,10.0,16.0,2.0,0.0,0.0,2,0.6891891891891893,0.0321374425421228,,,,0
user17,9.0,15.0,1.0,0.0,0.0,1,0.6351351351351352,0.0268907080897792,,,,0
user18,9.0,19.0,2.0,0.0,0.0,1,0.6891891891891893,0.0322007579729229,,,,0
user19,8.0,18.0,2.0,0.0,0.0,1,0.6756756756756757,0.031155557391003,,,,0
user20,8.0,15.0,3.0,0.0,0.0,2,0.7162162162162162,0.0354135472089467,,,,0
user21,6.0,13.0,1.0,0.0,0.0,1,,,,,,0
user22,8.0,15.0,3.0,0.0,0.0,2,,,,,,0
user23,6.0,14.0,1.0,0.0,0.0,0,,,,,,0
user24,9.0,17.0,1.0,0.0,1.0,1,,,0.0,7.0,0.0,0
user25,7.0,15.0,3.0,0.0,0.0,3,,,,,,0
user26,7.0,15.0,3.0,0.0,0.0,2,,,,,,0
user27,6.0,13.0,1.0,0.0,0.0,1,,,,,,0
user28,10.0,17.0,2.0,0.0,0.0,1,,,,,,0
user29,7.0,16.0,1.0,0.0,0.0,1,,,,,,0
user30,8.0,18.0,1.0,0.0,0.0,1,,,,,,0
user31,7.0,15.0,2.0,0.0,0.0,2,,,,,,0
user32,6.0,12.0,2.0,0.0,0.0,2,,,,,,0
user33,8.0,16.0,2.0,0.0,0.0,1,,,,,,0
