user,login_count,email_count,file_count,after_hours,is_red_team_x
U0001,1,19,1,0,0
U0002,1,12,12,0,0
U0003,2,22,13,0,0
U0004,1,22,4,0,0
U0005,2,21,13,0,0
U0006,1,22,10,0,0
U0007,2,11,13,0,0
U0008,2,23,12,0,0
U0009,2,21,7,0,0
U0010,2,17,11,0,0
U0011,2,21,12,0,0
U0012,1,30,8,0,0
U0013,1,23,15,0,0
U0014,2,22,5,0,0
U0015,1,19,6,0,0
U0016,1,15,10,0,0
U0017,1,13,4,0,0
U0018,1,25,12,0,0
U0019,1,20,11,0,0
U0020,2,14,6,0,0
U0021,2,28,9,0,0
U0022,2,24,13,0,0
U0023,2,23,11,0,0
U0024,1,19,9,0,0
U0025,3,80,76,1,1
U0026,1,15,6,0,0
U0027,2,11,10,0,0
U0028,1,23,5,0,0
U0029,2,18,12,0,0
U0030,2,24,7,0,0
U0031,1,23,13,0,0
U0032,2,16,6,0,0
U0033,2,23,8,0,0
U0034,2,28,8,0,0
U0035,2,15,6,0,0
U0036,1,22,9,0,0
U0037,2,18,11,0,0
U0038,3,22,8,0,0
U0039,2,18,10,0,0
U0040,1,20,12,0,0
U0041,2,8,3,0,0
U0042,2,21,8,0,0
U0043,2,25,8,0,0
U0044,3,22,4,0,0
U0045,2,18,9,0,0
U0046,1,21,14,0,0
U0047,2,19,10,0,0
U0048,1,16,14,0,0
U0049,2,22,13,0,0
U0050,2,32,3,0,0
U0051,1,7,1,0,0
U0052,1,22,12,0,0
U0053,1,21,6,0,0
U0054,2,21,11,0,0
U0055,2,9,6,0,0
U0056,2,20,11,0,0
U0057,1,23,11,0,0
U0058,2,18,10,0,0
U0059,2,16,11,0,0
U0060,1,18,4,0,0
U0061,1,17,12,0,0
U0062,1,24,4,0,0
U0063,1,16,8,0,0
U0064,1,16,14,0,0
U0065,1,14,13,0,0
U0066,1,33,6,0,0
U0067,2,20,3,0,0
U0068,2,18,12,0,0
U0069,2,15,8,0,0
U0070,2,34,12,0,0
U0071,2,23,9,0,0
U0072,1,28,9,0,0
U0073,2,19,10,0,0
U0074,2,18,9,0,0
U0075,1,22,5,0,0
U0076,2,18,15,0,0
U0077,2,23,9,0,0
U0078,1,24,12,0,0
U0079,2,19,15,0,0
U0080,1,11,16,0,0
U0081,1,16,10,0,0
U0082,1,19,9,0,0
U0083,1,20,12,0,0
U0084,1,14,13,0,0
U0085,1,15,9,0,0
U0086,1,17,12,0,0
U0087,2,18,6,0,0
U0088,2,18,10,0,0
U0089,1,25,12,0,0
U0090,2,14,13,0,0
U0091,1,26,11,0,0
U0092,2,27,7,0,0
U0093,1,14,9,0,0
U0094,1,24,14,0,0
U0095,1,28,12,0,0
U0096,2,26,10,0,0
U0097,2,15,5,0,0
U0098,1,22,9,0,0
U0099,2,26,12,0,0
U0100,2,29,17,0,0
U0101,2,14,10,0,0
U0102,2,20,4,0,0
U0103,2,15,9,0,0
U0104,2,13,12,0,0
U0105,1,11,9,0,0
U0106,1,18,4,0,0
U0107,2,5,10,0,0
U0108,1,16,8,0,0
U0109,1,11,8,0,0
U0110,1,13,6,0,0
U0111,2,13,9,0,0
U0112,2,20,12,0,0
U0113,2,21,9,0,0
U0114,1,16,12,0,0
U0115,1,23,8,0,0
U0116,1,30,12,0,0
U0117,2,25,16,0,0
U0118,1,24,15,0,0
U0119,1,14,10,0,0
U0120,1,22,5,0,0
U0121,2,14,8,0,0
U0122,2,6,8,0,0
U0123,2,18,10,0,0
U0124,2,18,7,0,0
U0125,1,20,4,0,0
U0126,1,15,12,0,0
U0127,2,18,6,0,0
U0128,1,24,12,0,0
U0129,1,23,13,0,0
U0130,1,24,6,0,0
U0131,1,24,14,0,0
U0132,3,27,11,0,0
U0133,1,12,11,0,0
U0134,2,30,10,0,0
U0135,2,18,11,0,0
U0136,2,20,13,0,0
U0137,1,13,11,0,0
U0138,1,20,9,0,0
U0139,2,13,6,0,0
U0140,1,20,13,0,0
U0141,2,11,10,0,0
U0142,1,18,10,0,0
U0143,2,20,10,0,0
U0144,2,23,8,0,0
U0145,2,21,9,0,0
U0146,1,15,10,0,0
U0147,2,15,16,0,0
U0148,1,22,13,0,0
U0149,1,19,15,0,0
U0150,1,21,7,0,0
U0151,2,16,16,0,0
U0152,2,26,10,0,0
U0153,1,19,13,0,0
U0154,2,16,11,0,0
U0155,2,15,10,0,0
U0156,2,20,8,0,0
U0157,2,24,12,0,0
U0158,1,22,6,0,0
U0159,1,24,10,0,0
U0160,2,9,10,0,0
U0161,1,24,16,0,0
U0162,2,17,11,0,0
U0163,1,16,8,0,0
U0164,1,23,8,0,0
U0165,2,23,13,0,0
U0166,1,25,9,0,0
U0167,1,13,12,0,0
U0168,3,26,9,0,0
U0169,2,18,7,0,0
U0170,2,17,9,0,0
U0171,1,26,12,0,0
U0172,2,25,12,0,0
U0173,3,17,12,0,0
U0174,1,18,12,0,0
U0175,1,19,10,0,0
U0176,1,23,9,0,0
U0177,1,28,10,0,0
U0178,1,23,7,0,0
U0179,2,27,14,0,0
U0180,1,23,7,0,0
U0181,1,26,9,0,0
U0182,2,23,15,0,0
U0183,0,24,11,0,0
U0184,2,14,14,0,0
U0185,2,18,12,0,0
U0186,1,18,8,0,0
U0187,3,32,59,1,1
U0188,1,24,7,0,0
U0189,2,29,8,0,0
U0190,1,20,9,0,0
U0191,1,21,9,0,0
U0192,3,12,11,0,0
U0193,2,16,5,0,0
U0194,1,14,9,0,0
U0195,2,18,3,0,0
U0196,2,19,11,0,0
U0197,1,19,9,0,0
U0198,2,15,8,0,0
U0199,1,12,10,0,0
U0200,1,20,8,0,0
U0201,1,21,9,0,0
U0202,1,9,3,0,0
U0203,2,11,8,0,0
U0204,1,18,11,0,0
U0205,1,18,12,0,0
U0206,1,20,6,0,0
U0207,1,17,12,0,0
U0208,2,18,8,0,0
U0209,2,24,16,0,0
U0210,1,25,3,0,0
U0211,2,16,7,0,0
U0212,0,24,15,0,0
U0213,1,25,7,0,0
